"Table 1: E-cigarette use, by sex and age, England, 2014 to 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains three tables presented underneath each other with one blank row in between. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the 'Notes' worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Given the changes to the collection of e-cigarette use in both 2018 and 2020, we have provided the data for 2014 to 2017, 2018 to 2019 and 2020 to 2023 separately.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For further information, please refer to [note 7] and the 'Important_data_changes' worksheet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Please note, data for 'current e-cigarette users' and 'never vaped' are comparable across the entire time series. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics – Opinions and Lifestyle Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enquiries about these data can be sent by email to: Health.Data@ons.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to table of contents.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1a: 2020 [note 5] to 2023 [note 6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Proportion of population aged 16 years and over by e-cigarette use [note 1],"Men 
aged 
16 to 24","Men 
aged 
25 to 34","Men 
aged 
35 to 49","Men 
aged 
50 to 59","Men 
aged 
60 and over","Men 
aged 
16 and over","Women 
aged 
16 to 24","Women 
aged 
25 to 34","Women 
aged 
35 to 49","Women 
aged 
50 to 59","Women 
aged 
60 and over","Women 
aged 
16 and over","All persons 
aged 
16 to 24","All persons 
aged 
25 to 34","All persons 
aged 
35 to 49","All persons 
aged 
50 to 59","All persons 
aged 
60 and over","All persons 
aged 
16 and over",,,,,,,,,,,,,,,,,,,,,,,
2022,Unweighted sample,449,587,"1,094","1,085","4,649","7,864",587,910,"1,453","1,245","5,377","9,572","1,036","1,497","2,547","2,330","10,026","17,436",,,,,,,,,,,,,,,,,,,,,,,
2021,Daily user (%),5.4,10.2,7.9,5.3,4.2,6.4,2.3,5.0,3.5,6.3,1.7,3.5,3.9,7.6,5.7,5.8,2.9,4.9,,,,,,,,,,,,,,,,,,,,,,,
2021,Occasional user (%),8.3,1.6,4.2,2.4,1.4,3.2,7.3,3.0,1.9,1.6,0.8,2.3,7.8,2.3,3.1,2.0,1,2.8,,,,,,,,,,,,,,,,,,,,,,,
2021,Used one previously (%),8.6,5.9,7.3,7.6,4.8,6.5,4.6,13.3,7.3,3.5,2.3,5.8,6.7,9.7,7.3,5.4,3.5,6.1,,,,,,,,,,,,,,,,,,,,,,,
2021,Never used (%),77.8,82.2,80.6,84.7,89.6,83.8,85.9,78.7,87.2,88.6,95.2,88.4,81.6,80.4,83.9,86.7,92.6,86.2,,,,,,,,,,,,,,,,,,,,,,,
2021,Weighted base (in thousands),"3,102","3,776","5,109","3,515","6,661","22,163","2,725","3,921","5,189","3,764","7,493","23,093","5,827","7,697","10,299","7,279","14,154","45,256",,,,,,,,,,,,,,,,,,,,,,,
2021,Unweighted sample,185,236,461,425,"1,694","3,001",233,374,578,497,"1,642","3,324",418,610,"1,039",922,"3,336","6,325",,,,,,,,,,,,,,,,,,,,,,,
2020,Daily user (%),4.1,4.4,6.0,7.2,2.1,4.5,1.6,4.2,2.9,4.8,1.8,3.0,2.9,4.3,4.4,6.0,1.9,3.7,,,,,,,,,,,,,,,,,,,,,,,
2020,Occasional user (%),5.4,4.0,2.2,1.6,1.2,2.6,2.5,3.1,2.7,2.9,1.7,2.5,4.1,3.5,2.5,2.3,1.5,2.5,,,,,,,,,,,,,,,,,,,,,,,
2020,Used one previously (%),8.4,14.3,11.1,6.9,4.4,8.7,8.4,10.7,7.7,6.0,3.9,6.8,8.4,12.5,9.4,6.5,4.1,7.7,,,,,,,,,,,,,,,,,,,,,,,
2020,Never used (%),82.1,77.3,80.7,84.4,92.3,84.3,87.5,82.0,86.6,86.2,92.6,87.8,84.6,79.7,83.7,85.3,92.5,86.0,,,,,,,,,,,,,,,,,,,,,,,
2020,Weighted base (in thousands),"3,016","3,815","5,193","3,642","6,367","22,033","2,623","3,955","5,286","3,802","7,361","23,026","5,639","7,771","10,479","7,443","13,728","45,059",,,,,,,,,,,,,,,,,,,,,,,
2020,Unweighted sample,527,654,"1,347","1,269","4,558","8,355",501,914,"1,790","1,487","5,090","9,782","1,028","1,568","3,137","2,756","9,648","18,137",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1b: 2018 to 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Proportion of population aged 16 years and over by e-cigarette use [note 1],"Men 
aged 
16 to 24","Men 
aged 
25 to 34","Men 
aged 
35 to 49","Men 
aged 
50 to 59","Men 
aged 
60 and over","Men 
aged 
16 and over","Women 
aged 
16 to 24","Women 
aged 
25 to 34","Women 
aged 
35 to 49","Women 
aged 
50 to 59","Women 
aged 
60 and over","Women 
aged 
16 and over","All persons 
aged 
16 to 24","All persons 
aged 
25 to 34","All persons 
aged 
35 to 49","All persons 
aged 
50 to 59","All persons 
aged 
60 and over","All persons 
aged 
16 and over",,,,,,,,,,,,,,,,,,,,,,,
2019,"Current e-cigarette user, or vaper (%)",2.8,8.2,9.2,6.8,3.4,6.0,3.4,9.3,4.6,7.8,2.3,5.0,3.1,8.8,6.8,7.3,2.8,5.5,,,,,,,,,,,,,,,,,,,,,,,
2019,Ex vaper (%),3.4,4.2,5.0,1.9,0.8,2.9,1.4,0.8,1.9,2.5,0.8,1.4,2.4,2.4,3.4,2.2,0.8,2.1,,,,,,,,,,,,,,,,,,,,,,,
2019,"Tried vaping, but didn't continue to vape (%)",18.5,21.1,8.8,12.5,4.8,11.7,17.1,21.6,14.1,9.1,4.6,12.0,17.8,21.4,11.5,10.9,4.7,11.8,,,,,,,,,,,,,,,,,,,,,,,
2019,Never vaped (%),75.3,66.5,76.9,78.8,91.0,79.4,78.2,68.3,79.5,80.6,92.2,81.6,76.7,67.5,78.2,79.7,91.7,80.5,,,,,,,,,,,,,,,,,,,,,,,
2019,Weighted base (in thousands),"3,144","3,456","5,029","3,732","6,245","21,606","2,795","4,070","5,436","3,525","7,361","23,186","5,939","7,525","10,465","7,257","13,606","44,792",,,,,,,,,,,,,,,,,,,,,,,
2019,Unweighted sample,115,165,438,514,"1,766","2,998",123,218,563,571,"2,036","3,511",238,383,"1,001","1,085","3,802","6,509",,,,,,,,,,,,,,,,,,,,,,,
2018,"Current e-cigarette user, or vaper (%)",8.5,9.3,11.7,7.4,3.6,7.9,1.1,5.0,4.6,7.1,4.5,4.6,5.2,7.0,8.1,7.3,4.1,6.3,,,,,,,,,,,,,,,,,,,,,,,
2018,Ex vaper (%),6.1,6.9,6.5,2.4,1.4,4.4,3.9,6.3,3.6,3.3,1.5,3.5,5.1,6.6,5.0,2.9,1.5,4.0,,,,,,,,,,,,,,,,,,,,,,,
2018,"Tried vaping, but didn't continue to vape (%)",19.3,14.8,9.1,6.6,3.4,9.5,16.4,17.4,8.5,8.6,4.3,9.8,18.0,16.1,8.8,7.6,3.9,9.7,,,,,,,,,,,,,,,,,,,,,,,
2018,Never vaped (%),66.0,69.0,72.7,83.6,91.6,78.1,78.7,71.4,83.3,80.9,89.7,82.0,71.8,70.2,78.1,82.3,90.6,80.1,,,,,,,,,,,,,,,,,,,,,,,
2018,Weighted base (in thousands),"2,942","3,916","5,439","3,748","6,009","22,055","2,448","4,294","5,506","3,669","6,641","22,557","5,390","8,210","10,944","7,416","12,650","44,612",,,,,,,,,,,,,,,,,,,,,,,
2018,Unweighted sample,176,277,703,649,"1,400","6,205",165,349,810,621,"1,470","3,415",341,626,"1,513","1,270","2,870","6,620",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1c: 2014 to 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Proportion of population aged 16 years and over by e-cigarette use [note 1],"Men 
aged 
16 to 24","Men 
aged 
25 to 34","Men 
aged 
35 to 49","Men 
aged 
50 to 59","Men 
aged 
60 and over","Men 
aged 
16 and over","Women 
aged 
16 to 24","Women 
aged 
25 to 34","Women 
aged 
35 to 49","Women 
aged 
50 to 59","Women 
aged 
60 and over","Women 
aged 
16 and over","All persons 
aged 
16 to 24","All persons 
aged 
25 to 34","All persons 
aged 
35 to 49","All persons 
aged 
50 to 59","All persons 
aged 
60 and over","All persons 
aged 
16 and over",,,,,,,,,,,,,,,,,,,,,,,
2017,"Current e-cigarette user, or vaper (%)",7.8,10.0,8.7,5.1,2.8,6.6,2.2,5.5,6.3,4.1,3.4,4.4,5.0,7.8,7.5,4.6,3.1,5.5,,,,,,,,,,,,,,,,,,,,,,,
2017,Ex vaper (%),11.5,14.4,8.9,5.8,2.4,7.9,11.2,12.7,8.9,5.6,2.0,7.2,11.3,13.5,8.9,5.7,2.2,7.5,,,,,,,,,,,,,,,,,,,,,,,
2017,"Tried vaping, but didn't continue to vape (%)",16.5,9.3,7.1,2.7,2.2,6.6,13.3,7.3,5.6,2.9,1.6,5.2,14.9,8.3,6.3,2.8,1.9,5.9,,,,,,,,,,,,,,,,,,,,,,,
2017,Never vaped (%),64.3,66.3,75.3,86.4,92.5,78.9,73.2,74.5,79.2,87.3,92.9,83.1,68.7,70.3,77.3,86.9,92.7,81.1,,,,,,,,,,,,,,,,,,,,,,,
2017,Weighted base (in thousands),"2,831","3,836","5,280","3,600","6,094","21,642","2,876","3,765","5,537","3,659","6,855","22,692","5,707","7,600","10,818","7,259","12,949","44,334",,,,,,,,,,,,,,,,,,,,,,,
2017,Unweighted sample,173,340,618,504,"1,079","2,714",219,532,781,548,"1,285","3,365",392,872,"1,399","1,052","2,364","6,079",,,,,,,,,,,,,,,,,,,,,,,
2016,"Current e-cigarette user, or vaper (%)",9.4,7.8,6.6,5.5,2.8,6.0,2.2,5.7,6.5,7.0,2.8,4.8,5.8,6.8,6.6,6.2,2.8,5.4,,,,,,,,,,,,,,,,,,,,,,,
2016,Ex vaper (%),14.6,12.4,9.8,6.6,3.5,8.7,12.8,10.7,8.0,4.9,3.2,7.2,13.7,11.5,8.9,5.7,3.4,7.9,,,,,,,,,,,,,,,,,,,,,,,
2016,"Tried vaping, but didn't continue to vape (%)",11.4,10.0,6.4,3.4,2.0,6.0,8.6,6.3,4.1,2.8,1.8,4.2,10.0,8.1,5.3,3.1,1.9,5.1,,,,,,,,,,,,,,,,,,,,,,,
2016,Never vaped (%),64.6,69.8,77.1,84.6,91.7,79.3,76.4,77.3,81.4,85.3,92.1,83.9,70.5,73.6,79.3,85.0,91.9,81.6,,,,,,,,,,,,,,,,,,,,,,,
2016,Weighted base (in thousands),"3,026","3,700","5,435","3,539","5,868","21,569","3,007","3,756","5,365","3,773","6,596","22,497","6,033","7,456","10,801","7,312","12,464","44,067",,,,,,,,,,,,,,,,,,,,,,,
2016,Unweighted sample,213,376,741,488,"1,179","2,997",249,586,882,588,"1,377","3,682",462,962,"1,623","1,076","2,556","6,679",,,,,,,,,,,,,,,,,,,,,,,
2015,"Current e-cigarette user, or vaper (%)",4.3,6.0,6.4,4.7,2.6,4.7,1.1,6.0,6.6,5.3,2.6,4.4,2.7,6.0,6.5,5.0,2.6,4.5,,,,,,,,,,,,,,,,,,,,,,,
2015,Ex vaper (%),15.0,11.2,11.7,6.9,2.5,8.8,14.2,9.9,7.6,6.6,2.6,7.2,14.6,10.5,9.6,6.8,2.5,8.0,,,,,,,,,,,,,,,,,,,,,,,
2015,"Tried vaping, but didn't continue to vape (%)",11.8,7.7,4.1,3.3,1.9,5.1,14.3,7.6,3.4,2.7,1.6,4.9,13.0,7.6,3.8,3.0,1.7,5.0,,,,,,,,,,,,,,,,,,,,,,,
2015,Never vaped (%),68.9,75.0,77.8,85.1,93.0,81.4,70.4,76.6,82.4,85.3,93.3,83.5,69.6,75.8,80.1,85.2,93.1,82.5,,,,,,,,,,,,,,,,,,,,,,,
2015,Weighted base (in thousands),"3,051","3,701","5,246","3,448","5,804","21,249","3,006","3,744","5,364","3,701","6,615","22,431","6,057","7,444","10,610","7,149","12,419","43,680",,,,,,,,,,,,,,,,,,,,,,,
2015,Unweighted sample,240,410,750,520,"1,180","3,090",250,590,910,670,"1,430","3,850",490,"1,000","1,660","1,190","2,610","6,940",,,,,,,,,,,,,,,,,,,,,,,
2014,"Current e-cigarette user, or vaper (%)",1.2,5.8,6.9,3.0,2.4,4.1,2.2,5.5,3.8,3.8,2.0,3.4,1.7,5.7,5.3,3.4,2.2,3.7,,,,,,,,,,,,,,,,,,,,,,,
2014,Ex vaper (%),14.6,10.7,6.7,4.1,2.1,6.8,10.4,8.1,5.7,5.2,1.9,5.5,12.5,9.4,6.2,4.7,2.0,6.1,,,,,,,,,,,,,,,,,,,,,,,
2014,"Tried vaping, but didn't continue to vape (%)",11.5,7.8,4.1,5.2,2.2,5.4,10.1,6.7,5.4,3.8,2.6,5.1,10.8,7.3,4.7,4.5,2.4,5.3,,,,,,,,,,,,,,,,,,,,,,,
2014,Never vaped (%),72.7,75.6,82.3,87.7,93.3,83.7,77.3,79.6,85.1,87.2,93.5,86.0,75.0,77.6,83.7,87.4,93.4,84.9,,,,,,,,,,,,,,,,,,,,,,,
2014,Weighted base (in thousands),"2,678","3,891","5,421","3,269","5,730","20,989","2,754","3,731","5,595","3,348","6,550","21,979","5,432","7,623","11,016","6,617","12,281","42,968",,,,,,,,,,,,,,,,,,,,,,,
2014,Unweighted sample,131,252,504,334,776,"1,997",178,353,560,345,852,"2,288",309,605,"1,064",679,"1,628","4,285",,,,,,,,,,,,,,,,,,,,,,,
